DBN,school_name,lat,long
27Q334,Epic High School – North,0.6928770660004,-73.829305580999
10X351,Bronx Collaborative High School,0.8800818400005,-73.885901532999
02M414,N.Y.C. Museum School,0.7421007130005,-74.002073796999
11X265,Bronx Lab School,0.8757542110005,-73.861387833999
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,0.7106794710004,-74.000807020999
27Q262,Channel View School for Research,0.5860071870004,-73.823089443999
09X329,DreamYard Preparatory School,0.8403733980005,-73.910838007999
28Q620,Thomas A. Edison Career and Technical Education High School,0.7158762610005,-73.798822388999
14K632,Frances Perkins Academy,0.7226426400005,-73.952583044999
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0.7461063750005,-73.981009666999
02M542,Manhattan Bridges High School,0.7650267080005,-73.992516577999
27Q400,August Martin High School,0.6755268090005,-73.783432512999
25Q241,Queens High School for Language Studies,0.7652434710005,-73.827855281999
27Q351,Rockaway Collegiate High School,0.5860071870004,-73.823089443999
32K403,Academy for Environmental Leadership,0.6969618480005,-73.910815938999
31R445,Port Richmond High School,0.6338429870005,-74.142106888999
25Q240,Veritas Academy,0.7652434710005,-73.827855281999
23K644,Eagle Academy for Young Men II,0.6778255010005,-73.915823379999
27Q302,"Queens High School for Information, Research, and Technology",0.6019893360005,-73.762834322999
09X517,Frederick Douglass Academy III Secondary School,0.8341672500004,-73.904032947999
28Q325,Hillside Arts & Letters Academy,0.7135774590005,-73.796517824999
05M499,Frederick Douglass Academy,0.8243083850004,-73.936979612999
24Q264,Academy of Finance and Enterprise,0.7450935190005,-73.936813897999
