SCHOOL NAME,avg_class_size,avg_largest_class,avg_smallest_class,DBN
The High School of Fashion Industries,30.608333333333334,32.75,26.916666666666668,02M600
Humanities Preparatory Academy,23.8,26.285714285714285,20.714285714285715,02M605
Chelsea Career and Technical Education High School,25.2,28.555555555555557,22.22222222222222,02M615
Norman Thomas High School,24.2,32.857142857142854,12.428571428571429,02M620
High School of Graphic Communication Arts,27.326666666666668,36.2,17.533333333333335,02M625
Art and Design High School,28.8875,33.6875,20.5625,02M630
Life Sciences Secondary School,23.92105263157895,30.526315789473685,16.68421052631579,02M655
J.H.S. 054 Booker T. Washington,31.5,32,30,03M054
P.S. 180 Hugo Newman,26.35,27,26,03M180
P.S. 241 Family Academy,15.5,18,13,03M241
M.S. M247 Dual Language Middle School,27.8,30,25,03M247
M.S. 256 Academic & Athletic Excellence,24,24,24,03M256
Manhattan Theatre Lab High School,26.527272727272727,32.09090909090909,21.272727272727273,03M283
"High School for Arts, Imagination and Inquiry",24.1375,28.3125,19.3125,03M299
"Urban Assembly School for Media Studies, The",19.807692307692307,21.46153846153846,18.53846153846154,03M307
The Anderson School,32,35,29,03M334
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,10,10,10,03M402
THE GLOBAL LEARNING COLLABORATIVE,24.98,30,20,03M403
INNOVATION DIPLOMA PLUS,17.223076923076924,20.23076923076923,14.461538461538462,03M404
Wadleigh Secondary School for the Performing & Visual Arts,23.6,28.076923076923077,18.307692307692307,03M415
FRANK McCOURT HIGH SCHOOL,25,27,24,03M417
Louis D. Brandeis High School,21.86842105263158,27.210526315789473,15.421052631578947,03M470
Beacon High School,30.78333333333333,33.666666666666664,26.083333333333332,03M479
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,31.306250000000002,34.25,25.125,03M485
"High School for Law, Advocacy and Community Justice",23.416666666666668,28.77777777777778,18.555555555555557,03M492
High School of Arts and Technology,28.071428571428573,31.928571428571427,21.857142857142858,03M494
Edward A. Reynolds West Side High School,21.125,27.25,16.416666666666668,03M505
Manhattan / Hunter Science High School,21.6,26.428571428571427,16.928571428571427,03M541
Special Music School,13,13,13,03M859
Frederick Douglass Academy II Secondary School,21.892857142857142,25.571428571428573,18.142857142857142,03M860
P.S. 050 Vito Marcantonio,25,25,25,04M050
ESPERANZA PREPARATORY ACADEMY,25.5,26,25,04M372
Coalition School for Social Change,21.32,26.2,16.333333333333332,04M409
Manhattan Center for Science and Mathematics,31.066666666666666,34.111111111111114,24,04M435
Park East High School,19.04,22.6,15.066666666666666,04M495
Central Park East High School,25.164285714285715,28.285714285714285,20.714285714285715,04M555
Young Women's Leadership School,25.711764705882352,27.941176470588236,23,04M610
Academy of Environmental Science Secondary High School,26.173333333333332,29.266666666666666,23.133333333333333,04M635
"Heritage School, The",20.692857142857143,25.142857142857142,16.071428571428573,04M680
Harlem Renaissance High School,17.208333333333332,19.333333333333332,15.583333333333334,05M285
I.S. M286 Renaissance Military Leadership Academy,24.3,30,18,05M286
Mott Hall High School,25.64,31,19.866666666666667,05M304
Columbia Secondary School,25.366666666666664,25.833333333333332,24.5,05M362
Academy for Social Action: A College Board School,23.43076923076923,26.692307692307693,20,05M367
Urban Assembly School for the Performing Arts,24.23846153846154,27.384615384615383,21.307692307692307,05M369
Choir Academy of Harlem,22.55,26.375,18.5625,05M469
Frederick Douglass Academy,26.68125,31.625,19.6875,05M499
Thurgood Marshall Academy for Learning and Social Change,22.993333333333332,26.066666666666666,20.333333333333332,05M670
Bread & Roses Integrated Arts High School,22.813333333333333,27.066666666666666,18,05M685
"High School for Mathematics, Science and Engineering at City College",21.68125,25.625,17.4375,05M692
J.H.S. 052 Inwood,29.25,30,28.5,06M052
