DBN,Name,frl_percent,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,total_enrollment
15K497,SCHOOL FOR INTERNATIONAL STUDIES,68.1,14.6,15.2,6.2,40.9,38.9,14,50.8,49.2,486
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,73.4,7.5,18.9,5.1,71.5,21,2.3,43.9,56.1,663
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,68.2,1.1,17.2,0.5,80.6,16.7,0,50,50,186
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,59.3,0.1,7.2,1.8,76.5,19,2.2,33.9,66.1,678
15K667,SUNSET PARK HIGH SCHOOL,79.9,14.4,22.3,4.7,7.8,80.8,6.7,50.7,49.3,988
15K684,MILLENNIUM BROOKLYN HS,60,0,3.7,18.7,22.4,24.3,33.6,42.1,57.9,107
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,74,2,6,0.7,21.5,72.5,4,45,55,149
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,71,1.4,17.1,0.9,83.6,14.1,0.5,48.7,51.3,439
16K455,BOYS AND GIRLS HIGH SCHOOL,61.7,2.5,20.5,0.5,90,7.8,0.7,61.7,38.3,1631
16K498,ACORN HIGH SCHOOL FOR SOCIAL JUSTICE,74.5,4.7,20.7,1,72.8,24.9,0,51.6,48.4,405
16K594,GOTHAM PROFESSIONAL ARTS ACADEMY,58.6,2.4,17.3,1,78.6,19.4,0.7,43.2,56.8,294
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,57.4,6.3,20.8,1.9,74.2,20.8,2.5,51.6,48.4,159
17K122,PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH,60,1.9,12.5,4.8,76,16.3,2.9,67.3,32.7,104
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLO,57,5,10.8,0.2,92,6.7,1.1,53.8,46.2,565
17K408,ACADEMY OF HOSPITALITY AND TOURISM,65.5,12.9,15.4,1.6,84.3,12.9,0.9,49.8,50.2,319
